,ALL_mean,AML_mean,ALL_stdev,AML_stdev,mean_diff,std_sum,correlation
M55150_at,810.2962962962963,1836.2727272727273,338.17847072615086,360.88643391213554,-1025.976430976431,699.0649046382864,-1.4676411648891123
U50136_rna1_at,977.7777777777778,2562.181818181818,324.6890030751715,789.7477848252338,-1584.4040404040402,1114.4367879004053,-1.4217083082738604
X95735_at,349.8888888888889,3023.6363636363635,395.51556745918873,1506.4646874538594,-2673.7474747474744,1901.9802549130482,-1.4057703637253105
M16038_at,375.3703703703704,1811.6363636363637,240.29743558735194,953.6882376046453,-1436.2659932659933,1193.9856731919972,-1.202917275737727
M23197_at,175.03703703703704,767.2727272727273,84.09266019442776,411.0983071989207,-592.2356902356902,495.19096739334844,-1.195974339663703
M84526_at,-177.40740740740742,3483.0,176.45423448049317,2896.83606716017,-3660.4074074074074,3073.290301640663,-1.1910386094842111
Y12670_at,411.14814814814815,1294.4545454545455,212.36519773253153,533.2065947897427,-883.3063973063973,745.5717925222742,-1.1847368773410352
U82759_at,241.37037037037038,850.7272727272727,239.56212429349384,283.86831133787757,-609.3569023569023,523.4304356313714,-1.1641602415073262
D49950_at,75.37037037037037,243.9090909090909,54.6873267193022,93.1809578674254,-168.53872053872055,147.8682845867276,-1.1397895161208105
M27891_at,144.44444444444446,7423.545454545455,427.0206564390545,6135.518044364899,-7279.101010101011,6562.538700803953,-1.1091898032097356
X17042_at,1642.8148148148148,7108.727272727273,1774.3292565195757,3167.8368989235887,-5465.912457912458,4942.166155443165,-1.1059750494006466
U12471_cds1_at,152.22222222222223,287.1818181818182,67.40197060194636,58.760221547945484,-134.95959595959596,126.16219214989184,-1.0697309047963595
U46751_at,1512.148148148148,5291.272727272727,534.4356983487497,3017.1125962054875,-3779.124579124579,3551.548294554237,-1.064078048697605
Y00787_s_at,892.2222222222222,10496.90909090909,2052.560770829628,7173.979557463841,-9604.686868686867,9226.54032829347,-1.040984651552847
L08246_at,1066.5555555555557,3767.4545454545455,668.5875659428115,1941.522050538513,-2700.89898989899,2610.1096164813243,-1.0347837396729944
M80254_at,33.74074074074074,428.6363636363636,106.58315373908141,277.6646440320671,-394.89562289562286,384.2477977711485,-1.0277108292779755
M62762_at,1238.5925925925926,3070.5454545454545,689.8047805920421,1101.2203561173726,-1831.952861952862,1791.0251367094147,-1.0228515638360287
M81933_at,64.25925925925925,248.9090909090909,104.26910177058966,78.88023142138282,-184.64983164983164,183.14933319197246,-1.008192759600639
M96326_rna1_at,571.1111111111111,7117.545454545455,527.2294299400137,5984.225720402538,-6546.434343434344,6511.455150342552,-1.0053719471737361
M28130_rna1_s_at,355.14814814814815,6298.909090909091,938.9960556853222,4999.321803095805,-5943.760942760943,5938.317858781127,-1.0009166036762023
M63138_at,1779.2592592592594,5599.363636363636,795.4986627940506,3088.189413644418,-3820.104377104377,3883.6880764384687,-0.9836280107767045
M11147_at,7885.37037037037,16838.090909090908,3956.120245393382,5236.035799238685,-8952.720538720538,9192.156044632067,-0.9739521930710312
M57710_at,262.85185185185185,3760.3636363636365,516.3397587236009,3084.556605826104,-3497.5117845117848,3600.8963645497047,-0.9712892098046125
